country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
El Salvador,0.42,0.38,0.42,0.2,0.3,0.54,0.51,0.57,0.63,0.64,0.8,0.61,0.61,0.79,0.89,0.94,0.94,0.97,0.99,0.92,0.98,0.94,0.81,0.93,0.9,0.89,0.96,0.99,0.98,0.91,0.89,0.9,0.93,0.92,0.93,0.92,0.95,0.89,0.83,0.81
Equatorial Guinea,,,,,,0.04,0.04,0.08,0.11,0.15,0.75,0.75,0.76,0.76,0.77,0.79,0.8,0.81,0.81,0.39,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.6,0.58,0.57,0.55,0.37,0.55,0.55,0.55,0.55
Eritrea,,,,,,,,,,,,,,0.32,0.49,0.58,0.66,0.75,0.86,0.93,0.82,0.89,0.92,0.95,0.98,0.96,0.94,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95
Estonia,,,,,,,,,,,,,,0.67,0.76,0.8,0.86,0.86,0.88,0.91,0.93,0.94,0.94,0.95,0.95,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.92,0.91
Eswatini,,0.22,0.39,0.43,0.49,0.59,0.72,0.74,0.89,0.89,0.89,0.79,0.93,0.86,0.96,0.81,0.81,0.86,0.86,0.86,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.85,0.92,0.98,0.98,0.84,0.9,0.9,0.9,0.89
Ethiopia,0.03,0.03,0.03,0.04,0.04,0.06,0.07,0.16,0.16,0.26,0.49,0.21,0.13,0.28,0.57,0.65,0.73,0.83,0.7,0.57,0.55,0.55,0.55,0.55,0.54,0.56,0.59,0.61,0.63,0.65,0.69,0.7,0.7,0.7,0.68,0.76,0.72,0.72,0.72,0.72
Fiji,0.55,0.62,0.65,0.81,0.72,0.68,0.73,0.92,0.99,0.99,0.96,0.99,0.98,0.96,0.96,0.99,0.99,0.88,0.89,0.9,0.91,0.92,0.94,0.95,0.96,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Finland,0.9,0.9,0.78,0.78,0.84,0.89,0.95,0.97,0.99,0.9,0.9,0.97,0.99,0.99,0.98,0.99,0.99,0.95,0.95,0.95,0.96,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.92,0.89,0.91,0.91
France,0.8,0.8,0.86,0.92,0.97,0.97,0.97,0.89,0.81,0.84,0.95,0.95,0.95,0.95,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.97,0.96,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.97,0.96,0.96,0.96,0.96
Gabon,,,,,,0.48,0.59,0.65,0.72,0.78,0.78,0.72,0.66,0.67,0.69,0.7,0.6,0.5,0.47,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.78,0.81,0.74,0.68,0.75,0.8,0.77,0.68,0.79,0.74,0.74,0.64,0.7
Gambia,0.53,0.66,0.76,0.7,0.78,0.62,0.67,0.8,0.88,0.92,0.94,0.94,0.94,0.96,0.97,0.98,0.97,0.99,0.91,0.83,0.84,0.85,0.86,0.87,0.88,0.94,0.94,0.94,0.96,0.97,0.97,0.95,0.98,0.96,0.97,0.96,0.95,0.92,0.93,0.88
Georgia,,,,,,,,,,,,,0.68,0.82,0.82,0.82,0.82,0.81,0.8,0.82,0.81,0.83,0.89,0.74,0.66,0.82,0.89,0.88,0.9,0.93,0.88,0.88,0.93,0.94,0.91,0.91,0.92,0.91,0.93,0.94
Germany,0.8,0.95,0.95,0.94,0.9,0.85,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.96,0.97,0.96,0.96,0.95,0.94,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93
Ghana,0.07,0.25,0.25,0.23,0.19,0.18,0.29,0.4,0.45,0.5,0.57,0.6,0.62,0.67,0.71,0.71,0.72,0.72,0.78,0.78,0.88,0.81,0.8,0.8,0.81,0.85,0.84,0.94,0.92,0.94,0.94,0.91,0.91,0.91,0.94,0.88,0.95,0.94,0.98,0.97
Greece,0.9,0.95,0.96,0.97,0.98,0.96,0.97,0.97,0.98,0.96,0.96,0.77,0.95,0.95,0.95,0.95,0.95,0.95,0.91,0.87,0.89,0.9,0.92,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Grenada,0.32,0.41,0.61,0.72,0.75,0.77,0.92,0.81,0.64,0.86,0.69,0.82,0.9,0.91,0.95,0.77,0.8,0.95,0.95,0.87,0.97,0.96,0.98,0.98,0.84,0.99,0.91,0.96,0.99,0.99,0.94,0.95,0.98,0.98,0.81,0.99,0.98,0.91,0.96,0.94
Guatemala,0.43,0.42,0.45,0.44,0.48,0.42,0.36,0.18,0.58,0.58,0.74,0.69,0.7,0.77,0.73,0.8,0.73,0.73,0.77,0.75,0.8,0.78,0.82,0.84,0.88,0.87,0.9,0.85,0.96,0.92,0.94,0.88,0.94,0.84,0.65,0.9,0.82,0.81,0.85,0.79
Guinea,,,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.18,0.37,0.52,0.53,0.53,0.54,0.48,0.46,0.59,0.43,0.47,0.52,0.56,0.61,0.65,0.59,0.53,0.46,0.59,0.6,0.62,0.63,0.56,0.49,0.42,0.47,0.48,0.48,0.48,0.48
Guinea-Bissau,,,,0.03,0.04,0.18,0.47,0.55,0.7,0.54,0.6,0.63,0.66,0.63,0.69,0.45,0.54,0.6,0.54,0.48,0.52,0.56,0.6,0.65,0.69,0.73,0.74,0.76,0.77,0.78,0.82,0.85,0.87,0.88,0.88,0.89,0.89,0.89,0.89,0.67
Guyana,0.42,0.37,0.73,0.62,0.41,0.77,0.67,0.77,0.69,0.79,0.79,0.81,0.87,0.92,0.9,0.87,0.83,0.88,0.9,0.83,0.79,0.9,0.93,0.91,0.91,0.93,0.92,0.94,0.93,0.97,0.95,0.93,0.97,0.98,0.97,0.92,0.94,0.94,0.94,0.97
Haiti,0.08,0.03,0.07,0.06,0.13,0.19,0.24,0.28,0.48,0.5,0.4,0.35,0.37,0.39,0.41,0.42,0.42,0.42,0.45,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.61,0.62,0.64,0.65,0.66,0.67,0.66,0.64,0.63,0.64,0.64,0.64,0.64,0.74
Honduras,0.31,0.37,0.47,0.51,0.73,0.58,0.63,0.61,0.7,0.86,0.87,0.93,0.94,0.95,0.95,0.94,0.94,0.93,0.97,0.95,0.88,0.99,0.95,0.92,0.94,0.98,0.94,0.94,0.93,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.94,0.89,0.9,0.87
Hungary,0.98,0.98,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Iceland,0.99,0.99,0.98,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.92,0.95,0.97,0.99,0.95,0.97,0.97,0.98,0.96,0.96,0.95,0.89,0.91,0.9,0.92,0.91,0.89,0.91,0.91
India,0.02,0.02,0.08,0.1,0.12,0.14,0.16,0.27,0.37,0.55,0.66,0.58,0.56,0.61,0.67,0.71,0.67,0.63,0.6,0.57,0.57,0.58,0.58,0.57,0.58,0.65,0.66,0.67,0.69,0.73,0.76,0.79,0.79,0.82,0.84,0.86,0.86,0.89,0.9,0.9
Indonesia,,0.01,0.01,0.04,0.06,0.13,0.46,0.49,0.53,0.56,0.6,0.62,0.65,0.67,0.69,0.71,0.83,0.79,0.87,0.86,0.72,0.77,0.8,0.8,0.79,0.79,0.78,0.77,0.83,0.85,0.82,0.81,0.87,0.92,0.9,0.85,0.85,0.88,0.87,0.85
Iran,0.38,0.47,0.74,0.34,0.34,0.63,0.58,0.58,0.88,0.82,0.9,0.88,0.97,0.99,0.95,0.97,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.99,0.98,0.95,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.99
Iraq,0.16,0.16,0.16,0.16,0.63,0.86,0.91,0.95,0.91,0.87,0.83,0.79,0.74,0.7,0.72,0.73,0.77,0.8,0.79,0.87,0.83,0.8,0.76,0.73,0.69,0.69,0.63,0.74,0.71,0.78,0.74,0.82,0.73,0.76,0.74,0.72,0.77,0.86,0.71,0.85
Ireland,0.72,0.76,0.79,0.76,0.74,0.9,0.84,0.78,0.72,0.81,0.81,0.8,0.8,0.79,0.78,0.77,0.77,0.76,0.84,0.86,0.86,0.84,0.83,0.86,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.95,0.95,0.95,0.94,0.94
Israel,0.85,0.93,0.93,0.88,0.87,0.86,0.93,0.93,0.94,0.93,0.93,0.94,0.96,0.97,0.97,0.96,0.95,0.95,0.92,0.92,0.93,0.93,0.91,0.93,0.95,0.95,0.94,0.95,0.94,0.96,0.95,0.94,0.94,0.96,0.95,0.95,0.94,0.98,0.98,0.98
Italy,,,,0.9,0.9,0.92,0.95,0.81,0.85,0.75,0.98,0.98,0.97,0.97,0.98,0.98,0.97,0.98,0.96,0.97,0.97,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.93,0.93,0.95,0.95,0.95
Jamaica,0.34,0.37,0.72,0.47,0.57,0.58,0.74,0.82,0.83,0.84,0.87,0.86,0.74,0.8,0.93,0.91,0.92,0.9,0.88,0.9,0.95,0.99,0.99,0.99,0.97,0.99,0.99,0.94,0.91,0.9,0.94,0.93,0.96,0.86,0.93,0.91,0.99,0.93,0.98,0.96
